date,stock,dollar,cpi,r,gold,oil
07/2015,1.974203993,1.624040039,0.006704716,-0.03909091,-4.501904359,-10.98003044
08/2015,-6.258080462,-0.442871306,-0.141627628,-0.15740259,-0.91995994,-15.60097027
09/2015,-2.644281962,-0.659253965,-0.155675658,0.00571428,0.611845107,0.219753205
10/2015,8.298307839,-0.110792359,-0.044968375,-0.10285714,3.065515617,1.659840771
11/2015,0.050496307,3.351916019,-0.211068038,0.19315789,-6.28078499,-8.336203284
12/2015,-1.753019837,-0.460061384,-0.341709644,-0.02043062,-0.984868009,-14.86572383
01/2016,-5.073534448,0.552031014,0.165310221,-0.15746411,2.060906911,-17.05616966
02/2016,-0.412835526,-1.835845449,0.082307653,-0.30576316,9.253035313,2.766243787
03/2016,6.599110872,-0.748136356,0.430600014,0.10959091,3.804918716,20.60597714
04/2016,0.269936982,-2.019682181,0.474106798,-0.08385281,-0.231299292,9.317582499
05/2016,1.532949208,-0.022814302,0.4045791,0.00095238,1.504515963,12.32201237
06/2016,0.090607355,0.181339495,0.328436617,-0.16209957,1.225266664,4.360700043
07/2016,3.560980723,1.971478719,-0.16181364,-0.14009091,4.721090567,-7.618357879
08/2016,-0.121917556,-1.186930158,0.091843011,0.05252174,0.262594826,1.368916066
09/2016,-0.12344826,0.118893602,0.240399586,0.07395445,-1.011811934,0.353633032
10/2016,-1.942562504,2.196937949,0.124674851,0.13402381,-4.527329057,10.10804467
11/2016,3.417444677,2.088366299,-0.155546087,0.3775,-2.226520864,-9.047107087
