Date,Value
11/2002,5757500
12/2002,5804000
01/2003,5793500
02/2003,5820800
03/2003,5882100
04/2003,5938500
05/2003,5938200
06/2003,5992400
07/2003,6035300
08/2003,6091800
09/2003,6063900
10/2003,6048300
11/2003,6077000
12/2003,6098600
01/2004,6058900
02/2004,6089000
03/2004,6168500
04/2004,6235900
05/2004,6249600
06/2004,6272800
07/2004,6279100
08/2004,6300900
09/2004,6334000
10/2004,6355600
11/2004,6405100
12/2004,6447400
01/2005,6404100
02/2005,6405700
03/2005,6464900
04/2005,6508300
05/2005,6459800
06/2005,6511800
07/2005,6530700
08/2005,6555000
09/2005,6587700
10/2005,6615000
11/2005,6655700
12/2005,6708900
01/2006,6707100
02/2006,6724200
03/2006,6796700
04/2006,6860100
05/2006,6798400
06/2006,6852100
07/2006,6873600
08/2006,6892300
09/2006,6919700
10/2006,6962500
11/2006,7024900
12/2006,7100100
01/2007,7098200
02/2007,7109700
03/2007,7207600
04/2007,7296500
05/2007,7241000
06/2007,7285100
07/2007,7287900
08/2007,7347200
09/2007,7367600
10/2007,7378600
11/2007,7436800
12/2007,7504200
01/2008,7502600
02/2008,7585200
03/2008,7719200
04/2008,7767600
05/2008,7709100
06/2008,7731700
07/2008,7745000
08/2008,7742700
09/2008,7815600
10/2008,7922100
11/2008,8012500
12/2008,8231500
01/2009,8276400
02/2009,8305200
03/2009,8441100
04/2009,8441500
05/2009,8428600
06/2009,8441300
07/2009,8407600
08/2009,8386700
09/2009,8394900
10/2009,8426400
11/2009,8501200
12/2009,8543700
01/2010,8464400
02/2010,8508400
03/2010,8576600
04/2010,8601800
05/2010,8584200
06/2010,8606400
07/2010,8576900
08/2010,8607700
09/2010,8649500
10/2010,8710400
11/2010,8775500
12/2010,8857600
01/2011,8850000
02/2011,8887100
03/2011,9000600
04/2011,9055600
05/2011,9025600
06/2011,9113900
07/2011,9266600
08/2011,9461800
09/2011,9500300
10/2011,9550100
11/2011,9633100
12/2011,9729200
01/2012,9761900
02/2012,9787000
03/2012,9903100
04/2012,9948900
05/2012,9882900
06/2012,9960800
07/2012,10005900
08/2012,10069000
09/2012,10165200
10/2012,10245800
11/2012,10343000
12/2012,10531400
01/2013,10506600
02/2013,10480000
03/2013,10626900
04/2013,10655800
05/2013,10578700
06/2013,10643300
07/2013,10682300
08/2013,10738000
09/2013,10805900
10/2013,10933000
11/2013,10977200
12/2013,11104300
01/2014,11101600
02/2014,11153400
03/2014,11278400
04/2014,11331600
05/2014,11274800
06/2014,11336800
07/2014,11391800
08/2014,11422700
09/2014,11470600
10/2014,11538600
11/2014,11615000
12/2014,11760000
01/2015,11759000
02/2015,11847100
03/2015,11956700
04/2015,12004700
05/2015,11907900
06/2015,11962500
07/2015,12012900
08/2015,12070400
09/2015,12138200
10/2015,12171500
11/2015,12297900
12/2015,12427300
01/2016,12478400
02/2016,12517100
03/2016,12684800
04/2016,12778600
05/2016,12708400
06/2016,12789000
07/2016,12850100
08/2016,12946700
09/2016,13016200
10/2016,13079400
11/2016,13191800
12/2016,13299900
01/2017,13281600
02/2017,13305600
03/2017,13491700
04/2017,13565000
05/2017,13474100
06/2017,13522100
07/2017,13584400
08/2017,13653700
09/2017,13705500
10/2017,13750700
11/2017,13819900
12/2017,13945000
01/2018,13863100
02/2018,13849100
03/2018,14031000
04/2018,14069500
05/2018,13980400
06/2018,14074700
07/2018,14109600
08/2018,14164900
09/2018,14199500
10/2018,14201400
11/2018,14255100
12/2018,14448800
01/2019,14423800
02/2019,14401900
03/2019,14572500
04/2019,14623000
05/2019,14575000
06/2019,14734800
07/2019,14814400
08/2019,14896100
09/2019,14986800
10/2019,15112200
11/2019,15259400
12/2019,15412500
01/2020,15397100
02/2020,15382300
03/2020,16051500
04/2020,17097700
05/2020,17762500
06/2020,18099100
07/2020,18248100
08/2020,18315100
09/2020,18538700
10/2020,18684800
11/2020,18975400
12/2020,19242700
01/2021,19367900
02/2021,19518800
03/2021,19941000
04/2021,20263200
05/2021,20310100
06/2021,20431300
07/2021,20556100
08/2021,20748500
09/2021,20922000
10/2021,21087900
11/2021,21323300
12/2021,21646700
01/2022,21628700
02/2022,21582800
03/2022,21856000
04/2022,21848100
05/2022,21552200
06/2022,21577800
07/2022,21578200
08/2022,21552500
09/2022,21475200
10/2022,21388900
11/2022,21401300
12/2022,21433300
01/2023,21290100
02/2023,21136400
03/2023,21042200
04/2023,20859100
05/2023,20728500
06/2023,20767400
07/2023,20745400
08/2023,20721300
09/2023,20699800
10/2023,20671200
11/2023,20760400
12/2023,20929000
